"Company Code","Document Number","Global Currency","Account Number","Cost Center","Profit Center","Amount in Company Code Currency","Debit/Credit Ind.","Posting Period","Posting Date","Document Type","Plant",
"1010","100000190","EUR","63004000","IBPF_CC30","IBPF_PC30","100.00","S","1","2018-01-01","SA","",
"1010","100000190","EUR","63006000","IBPF_CC30","IBPF_PC30","100.00","S","1","2018-01-01","SA","",
"1010","100000190","EUR","63007000","IBPF_CC30","IBPF_PC30","100.00","S","1","2018-01-01","SA","",
"1010","100000190","EUR","65100000","IBPF_CC30","IBPF_PC30","100.00","S","1","2018-01-01","SA","",
"1010","100000190","EUR","65150000","IBPF_CC30","IBPF_PC30","100.00","S","1","2018-01-01","SA","",
"1010","100000190","EUR","10010000","","IBPF_PC30","-500.00","H","1","2018-01-01","SA","",
"1010","100000191","EUR","63004000","IBPF_CC30","IBPF_PC30","100.00","S","2","2018-02-01","SA","",
"1010","100000191","EUR","63006000","IBPF_CC30","IBPF_PC30","100.00","S","2","2018-02-01","SA","",
"1010","100000191","EUR","63007000","IBPF_CC30","IBPF_PC30","100.00","S","2","2018-02-01","SA","",
"1010","100000191","EUR","65100000","IBPF_CC30","IBPF_PC30","100.00","S","2","2018-02-01","SA","",
"1010","100000191","EUR","65150000","IBPF_CC30","IBPF_PC30","100.00","S","2","2018-02-01","SA","",
"1010","100000191","EUR","10010000","","IBPF_PC30","-500.00","H","2","2018-02-01","SA","",
"1010","100000192","EUR","63004000","IBPF_CC30","IBPF_PC30","100.00","S","3","2018-03-01","SA","",
"1010","100000192","EUR","63006000","IBPF_CC30","IBPF_PC30","100.00","S","3","2018-03-01","SA","",
"1010","100000192","EUR","63007000","IBPF_CC30","IBPF_PC30","100.00","S","3","2018-03-01","SA","",
"1010","100000192","EUR","65100000","IBPF_CC30","IBPF_PC30","100.00","S","3","2018-03-01","SA","",
"1010","100000192","EUR","65150000","IBPF_CC30","IBPF_PC30","100.00","S","3","2018-03-01","SA","",
"1010","100000192","EUR","10010000","","IBPF_PC30","-500.00","H","3","2018-03-01","SA","",
"1010","100000193","EUR","63004000","IBPF_CC30","IBPF_PC30","100.00","S","4","2018-04-01","SA","",
"1010","100000193","EUR","63006000","IBPF_CC30","IBPF_PC30","100.00","S","4","2018-04-01","SA","",
"1010","100000193","EUR","63007000","IBPF_CC30","IBPF_PC30","100.00","S","4","2018-04-01","SA","",
"1010","100000193","EUR","65100000","IBPF_CC30","IBPF_PC30","100.00","S","4","2018-04-01","SA","",
"1010","100000193","EUR","65150000","IBPF_CC30","IBPF_PC30","100.00","S","4","2018-04-01","SA","",
"1010","100000193","EUR","10010000","","IBPF_PC30","-500.00","H","4","2018-04-01","SA","",
